Time [z = 50.000 mm: Temperature] ((min)),Temperature [z = 50.000 mm: Temperature] ((C)),Time [z = 49.990 mm: Temperature 1] ((min)),Temperature [z = 49.990 mm: Temperature 1] ((C)),Time [z = 49.521 mm: Temperature 2] ((min)),Temperature [z = 49.521 mm: Temperature 2] ((C)),Time [z = 48.125 mm: Temperature 3] ((min)),Temperature [z = 48.125 mm: Temperature 3] ((C)),Time [z = 46.250 mm: Temperature 4] ((min)),Temperature [z = 46.250 mm: Temperature 4] ((C)),Time [z = 44.375 mm: Temperature 5] ((min)),Temperature [z = 44.375 mm: Temperature 5] ((C)),Time [z = 42.500 mm: Temperature 6] ((min)),Temperature [z = 42.500 mm: Temperature 6] ((C)),Time [z = 40.625 mm: Temperature 7] ((min)),Temperature [z = 40.625 mm: Temperature 7] ((C)),Time [z = 38.750 mm: Temperature 8] ((min)),Temperature [z = 38.750 mm: Temperature 8] ((C)),Time [z = 36.875 mm: Temperature 9] ((min)),Temperature [z = 36.875 mm: Temperature 9] ((C)),Time [z = 35.000 mm: Temperature 10] ((min)),Temperature [z = 35.000 mm: Temperature 10] ((C)),Time [z = 33.125 mm: Temperature 11] ((min)),Temperature [z = 33.125 mm: Temperature 11] ((C)),Time [z = 31.250 mm: Temperature 12] ((min)),Temperature [z = 31.250 mm: Temperature 12] ((C)),Time [z = 29.375 mm: Temperature 13] ((min)),Temperature [z = 29.375 mm: Temperature 13] ((C)),Time [z = 27.500 mm: Temperature 14] ((min)),Temperature [z = 27.500 mm: Temperature 14] ((C)),Time [z = 25.625 mm: Temperature 15] ((min)),Temperature [z = 25.625 mm: Temperature 15] ((C)),Time [z = 23.750 mm: Temperature 16] ((min)),Temperature [z = 23.750 mm: Temperature 16] ((C)),Time [z = 21.875 mm: Temperature 17] ((min)),Temperature [z = 21.875 mm: Temperature 17] ((C)),Time [z = 20.479 mm: Temperature 18] ((min)),Temperature [z = 20.479 mm: Temperature 18] ((C)),Time [z = 20.010 mm: Temperature 19] ((min)),Temperature [z = 20.010 mm: Temperature 19] ((C)),Time [z = 19.990 mm: Temperature 20] ((min)),Temperature [z = 19.990 mm: Temperature 20] ((C)),Time [z = 19.573 mm: Temperature 21] ((min)),Temperature [z = 19.573 mm: Temperature 21] ((C)),Time [z = 18.333 mm: Temperature 22] ((min)),Temperature [z = 18.333 mm: Temperature 22] ((C)),Time [z = 16.667 mm: Temperature 23] ((min)),Temperature [z = 16.667 mm: Temperature 23] ((C)),Time [z = 15.000 mm: Temperature 24] ((min)),Temperature [z = 15.000 mm: Temperature 24] ((C)),Time [z = 13.333 mm: Temperature 25] ((min)),Temperature [z = 13.333 mm: Temperature 25] ((C)),Time [z = 11.667 mm: Temperature 26] ((min)),Temperature [z = 11.667 mm: Temperature 26] ((C)),Time [z = 10.000 mm: Temperature 27] ((min)),Temperature [z = 10.000 mm: Temperature 27] ((C)),Time [z = 8.333 mm: Temperature 28] ((min)),Temperature [z = 8.333 mm: Temperature 28] ((C)),Time [z = 6.667 mm: Temperature 29] ((min)),Temperature [z = 6.667 mm: Temperature 29] ((C)),Time [z = 5.000 mm: Temperature 30] ((min)),Temperature [z = 5.000 mm: Temperature 30] ((C)),Time [z = 3.333 mm: Temperature 31] ((min)),Temperature [z = 3.333 mm: Temperature 31] ((C)),Time [z = 1.667 mm: Temperature 32] ((min)),Temperature [z = 1.667 mm: Temperature 32] ((C)),Time [z = 0.427 mm: Temperature 33] ((min)),Temperature [z = 0.427 mm: Temperature 33] ((C)),Time [z = 0.010 mm: Temperature 34] ((min)),Temperature [z = 0.010 mm: Temperature 34] ((C)),Time [z = 0.000 mm: Temperature 35] ((min)),Temperature [z = 0.000 mm: Temperature 35] ((C))
2.43169975,27.4821531,2.43169975,27.4704638,2.43169975,26.9492519,2.43169975,25.5702788,2.43169975,24.04501,2.43169975,22.8828986,2.43169975,22.0180227,2.43169975,21.3916984,2.43169975,20.9540966,2.43169975,20.6653934,2.43169975,20.4965455,2.43169975,20.4298338,2.43169975,20.4593282,2.43169975,20.5913922,2.43169975,20.8452602,2.43169975,21.2536198,2.43169975,21.8630184,2.43169975,22.7338258,2.43169975,23.5670777,2.43169975,23.8928378,2.43169975,23.9006173,2.43169975,23.9178797,2.43169975,23.9833828,2.43169975,24.1008716,2.43169975,24.2566837,2.43169975,24.4513358,2.43169975,24.6854052,2.43169975,24.9595253,2.43169975,25.2743806,2.43169975,25.6307006,2.43169975,26.0292537,2.43169975,26.4708398,2.43169975,26.9562828,2.43169975,27.3431661,2.43169975,27.4788384,2.43169975,27.4821531
2.641849,28.1287662,2.641849,28.1165837,2.641849,27.5722813,2.641849,26.1252781,2.641849,24.511641,2.641849,23.2674154,2.641849,22.3292635,2.641849,21.6405594,2.641849,21.1530053,2.641849,20.8278723,2.641849,20.6369242,2.641849,20.563119,2.641849,20.6011892,2.641849,20.7581711,2.641849,21.0538918,2.641849,21.5213419,2.641849,22.2067808,2.641849,23.1693653,2.641849,24.0790185,2.641849,24.4319574,2.641849,24.4403578,2.641849,24.45888,2.641849,24.5284544,2.641849,24.6520694,2.641849,24.8148207,2.641849,25.0171796,2.641849,25.2596674,2.641849,25.5428519,2.641849,25.867343,2.641849,26.2337877,2.641849,26.6428651,2.641849,27.0952802,2.641849,27.5917578,2.641849,27.9869218,2.641849,28.1253844,2.641849,28.1287662
2.89782075,28.9163715,2.89782075,28.9036167,2.89782075,28.3325179,2.89782075,26.8065264,2.89782075,25.0901391,2.89782075,23.7501579,2.89782075,22.7262371,2.89782075,21.9642451,2.89782075,21.417865,2.89782075,21.0498979,2.89782075,20.8332986,2.89782075,20.7519927,2.89782075,20.8015325,2.89782075,20.9896197,2.89782075,21.3364824,2.89782075,21.8750373,2.89782075,22.6507151,2.89782075,23.7207942,2.89782075,24.7190888,2.89782075,25.1033774,2.89782075,25.1124922,2.89782075,25.1324569,2.89782075,25.206647,2.89782075,25.3371202,2.89782075,25.5075418,2.89782075,25.7183358,2.89782075,25.9699665,2.89782075,26.2629353,2.89782075,26.5977773,2.89782075,26.9750573,2.89782075,27.3953654,2.89782075,27.8593126,2.89782075,28.3675255,2.89782075,28.7714908,2.89782075,28.9129186,2.89782075,28.9163715
3.1339675,29.6429769,3.1339675,29.62972,3.1339675,29.035112,3.1339675,27.4397973,3.1339675,25.6331396,3.1339675,24.2088627,3.1339675,23.1092517,3.1339675,22.2824458,3.1339675,21.684014,3.1339675,21.2782819,3.1339675,21.0394194,3.1339675,20.9523116,3.1339675,21.0132381,3.1339675,21.2303666,3.1339675,21.6240351,3.1339675,22.2267595,3.1339675,23.0828683,3.1339675,24.2476519,3.1339675,25.3233896,3.1339675,25.7349265,3.1339675,25.744661,3.1339675,25.7658713,3.1339675,25.8440119,3.1339675,25.9802877,3.1339675,26.1571221,3.1339675,26.3749022,3.1339675,26.6340483,3.1339675,26.9350114,3.1339675,27.2782701,3.1339675,27.6643273,3.1339675,28.0937068,3.1339675,28.5669494,3.1339675,29.0846086,3.1339675,29.495654,3.1339675,29.6394668,3.1339675,29.6429769
3.36439,30.3519692,3.36439,30.3382443,3.36439,29.7217224,3.36439,28.0617752,3.36439,26.1709065,3.36439,24.6679063,3.36439,23.4975242,3.36439,22.6100751,3.36439,21.9629825,3.36439,21.5221063,3.36439,21.2628481,3.36439,21.1710408,3.36439,21.2436236,3.36439,21.4890953,3.36439,21.9277124,3.36439,22.5913765,3.36439,23.5231327,3.36439,24.7761971,3.36439,25.9236642,3.36439,26.3603401,3.36439,26.3706453,3.36439,26.3929991,3.36439,26.4747419,3.36439,26.616261,3.36439,26.7988351,3.36439,27.0228201,3.36439,27.2886,3.36439,27.5965842,3.36439,27.9472049,3.36439,28.3409151,3.36439,28.7781845,3.36439,29.2594973,3.36439,29.7853481,3.36439,30.20253,3.36439,30.3484095,3.36439,30.3519692
3.63261425,31.1772746,3.63261425,31.1630307,3.63261425,30.5222066,3.63261425,28.7905742,3.63261425,26.8062751,3.63261425,25.2158843,3.63261425,23.9669051,3.63261425,23.0121223,3.63261425,22.3111015,3.63261425,21.8314968,3.63261425,21.5501501,3.63261425,21.4539721,3.63261425,21.5405919,3.63261425,21.818756,3.63261425,22.308441,3.63261425,23.0406334,3.63261425,24.0567168,3.63261425,25.4074116,3.63261425,26.6337571,3.63261425,27.0979819,3.63261425,27.1089117,3.63261425,27.1325132,3.63261425,27.2181626,3.63261425,27.3653225,3.63261425,27.5540177,3.63261425,27.7845733,3.63261425,28.057337,3.63261425,28.3726772,3.63261425,28.7309816,3.63261425,29.1326541,3.63261425,29.578113,3.63261425,30.0677878,3.63261425,30.6021169,3.63261425,31.0256466,3.63261425,31.1736635,3.63261425,31.1772746
3.885436,31.9551877,3.885436,31.9404786,3.885436,31.2778745,3.885436,29.4819937,3.885436,27.4139475,3.885436,25.7452146,3.885436,24.4257882,3.885436,23.4107103,3.885436,22.6615241,3.885436,22.1475488,3.885436,21.8469554,3.885436,21.7476209,3.885436,21.8477421,3.885436,22.1561815,3.885436,22.6925133,3.885436,23.4867258,3.885436,24.5785406,3.885436,26.0163099,3.885436,27.3126622,3.885436,27.8012649,3.885436,27.8127467,3.885436,27.8374483,3.885436,27.926524,3.885436,28.0785963,3.885436,28.2725817,3.885436,28.5087796,3.885436,28.7875086,3.885436,29.1091049,3.885436,29.4739205,3.885436,29.8823211,3.885436,30.3346846,3.885436,30.831398,3.885436,31.3728559,3.885436,31.8017205,3.885436,31.9515335,3.885436,31.9551877
4.09915775,32.6127931,4.09915775,32.5977078,4.09915775,31.9174891,4.09915775,30.0696476,4.09915775,27.9338738,4.09915775,26.2017953,4.09915775,24.8254358,4.09915775,23.7616882,4.09915775,22.9737238,4.09915775,22.4322342,4.09915775,22.1164768,4.09915775,22.0150987,4.09915775,22.1267158,4.09915775,22.4602153,4.09915775,23.0347529,4.09915775,23.8794074,4.09915775,25.0324612,4.09915775,26.5402832,4.09915775,27.8927561,4.09915775,28.4008592,4.09915775,28.4127822,4.09915775,28.4383613,4.09915775,28.5301604,4.09915775,28.6861169,4.09915775,28.8842613,4.09915775,29.1248739,4.09915775,29.4082518,4.09915775,29.7347071,4.09915775,30.104566,4.09915775,30.5181665,4.09915775,30.975857,4.09915775,31.4779939,4.09915775,32.0249402,4.09915775,32.4579106,4.09915775,32.6091057,4.09915775,32.6127931
4.3525545,33.3924754,4.3525545,33.376964,4.3525545,32.6767908,4.3525545,30.7700887,4.3525545,28.5576036,4.3525545,26.7538025,4.3525545,25.3130291,4.3525545,24.1942966,4.3525545,23.362645,4.3525545,22.7903368,4.3525545,22.4578613,4.3525545,22.3547169,4.3525545,22.4799458,4.3525545,22.8423895,4.3525545,23.4606378,4.3525545,24.3626417,4.3525545,25.5849677,4.3525545,27.1716818,4.3525545,28.5871633,4.3525545,29.1171199,4.3525545,29.1295369,4.3525545,29.1560973,4.3525545,29.2509316,4.3525545,29.4111982,4.3525545,29.613935,4.3525545,29.8594021,4.3525545,30.1478738,4.3525545,30.4796376,4.3525545,30.8549929,4.3525545,31.2742492,4.3525545,31.7377247,4.3525545,32.2457448,4.3525545,32.7986403,4.3525545,33.2360595,4.3525545,33.3887521,4.3525545,33.3924754
4.5653045,34.0470908,4.5653045,34.0312372,4.5653045,33.3150398,4.5653045,31.3610727,4.5653045,29.0869994,4.5653045,27.2256413,4.5653045,25.7332201,4.5653045,24.5704671,4.5653045,23.7039357,4.5653045,23.1071564,4.5653045,22.7616022,4.5653045,22.6574346,4.5653045,22.7940009,4.5653045,23.1800533,4.5653045,23.8336653,4.5653045,24.7818194,4.5653045,26.0596513,4.5653045,27.7093464,4.5653045,29.1750013,4.5653045,29.7223336,4.5653045,29.7351431,4.5653045,29.7624824,4.5653045,29.8597192,4.5653045,30.0233852,4.5653045,30.2297291,4.5653045,30.4789959,4.5653045,30.7714429,4.5653045,31.1073392,4.5653045,31.4869644,4.5653045,31.910607,4.5653045,32.3785632,4.5653045,32.8911355,4.5653045,33.4486313,4.5653045,33.8894896,4.5653045,34.0433397,4.5653045,34.0470908
