Time [z = 49.990 mm: Temperature 1] ((min)),Temperature [z = 49.990 mm: Temperature 1] ((C)),Time [z = 49.521 mm: Temperature 2] ((min)),Temperature [z = 49.521 mm: Temperature 2] ((C)),Time [z = 48.125 mm: Temperature 3] ((min)),Temperature [z = 48.125 mm: Temperature 3] ((C)),Time [z = 46.250 mm: Temperature 4] ((min)),Temperature [z = 46.250 mm: Temperature 4] ((C)),Time [z = 44.375 mm: Temperature 5] ((min)),Temperature [z = 44.375 mm: Temperature 5] ((C)),Time [z = 42.500 mm: Temperature 6] ((min)),Temperature [z = 42.500 mm: Temperature 6] ((C)),Time [z = 40.625 mm: Temperature 7] ((min)),Temperature [z = 40.625 mm: Temperature 7] ((C)),Time [z = 38.750 mm: Temperature 8] ((min)),Temperature [z = 38.750 mm: Temperature 8] ((C)),Time [z = 36.875 mm: Temperature 9] ((min)),Temperature [z = 36.875 mm: Temperature 9] ((C)),Time [z = 35.000 mm: Temperature 10] ((min)),Temperature [z = 35.000 mm: Temperature 10] ((C)),Time [z = 33.125 mm: Temperature 11] ((min)),Temperature [z = 33.125 mm: Temperature 11] ((C)),Time [z = 31.250 mm: Temperature 12] ((min)),Temperature [z = 31.250 mm: Temperature 12] ((C)),Time [z = 29.375 mm: Temperature 13] ((min)),Temperature [z = 29.375 mm: Temperature 13] ((C)),Time [z = 27.500 mm: Temperature 14] ((min)),Temperature [z = 27.500 mm: Temperature 14] ((C)),Time [z = 25.625 mm: Temperature 15] ((min)),Temperature [z = 25.625 mm: Temperature 15] ((C)),Time [z = 23.750 mm: Temperature 16] ((min)),Temperature [z = 23.750 mm: Temperature 16] ((C)),Time [z = 21.875 mm: Temperature 17] ((min)),Temperature [z = 21.875 mm: Temperature 17] ((C)),Time [z = 20.479 mm: Temperature 18] ((min)),Temperature [z = 20.479 mm: Temperature 18] ((C)),Time [z = 20.010 mm: Temperature 19] ((min)),Temperature [z = 20.010 mm: Temperature 19] ((C)),Time [z = 19.990 mm: Temperature 20] ((min)),Temperature [z = 19.990 mm: Temperature 20] ((C)),Time [z = 19.573 mm: Temperature 21] ((min)),Temperature [z = 19.573 mm: Temperature 21] ((C)),Time [z = 18.333 mm: Temperature 22] ((min)),Temperature [z = 18.333 mm: Temperature 22] ((C)),Time [z = 16.667 mm: Temperature 23] ((min)),Temperature [z = 16.667 mm: Temperature 23] ((C)),Time [z = 15.000 mm: Temperature 24] ((min)),Temperature [z = 15.000 mm: Temperature 24] ((C)),Time [z = 13.333 mm: Temperature 25] ((min)),Temperature [z = 13.333 mm: Temperature 25] ((C)),Time [z = 11.667 mm: Temperature 26] ((min)),Temperature [z = 11.667 mm: Temperature 26] ((C)),Time [z = 10.000 mm: Temperature 27] ((min)),Temperature [z = 10.000 mm: Temperature 27] ((C)),Time [z = 8.333 mm: Temperature 28] ((min)),Temperature [z = 8.333 mm: Temperature 28] ((C)),Time [z = 6.667 mm: Temperature 29] ((min)),Temperature [z = 6.667 mm: Temperature 29] ((C)),Time [z = 5.000 mm: Temperature 30] ((min)),Temperature [z = 5.000 mm: Temperature 30] ((C)),Time [z = 3.333 mm: Temperature 31] ((min)),Temperature [z = 3.333 mm: Temperature 31] ((C)),Time [z = 1.667 mm: Temperature 32] ((min)),Temperature [z = 1.667 mm: Temperature 32] ((C)),Time [z = 0.427 mm: Temperature 33] ((min)),Temperature [z = 0.427 mm: Temperature 33] ((C)),Time [z = 0.010 mm: Temperature 34] ((min)),Temperature [z = 0.010 mm: Temperature 34] ((C))
2.43169975,24.1311492,2.43169975,23.4480411,2.43169975,22.7122572,2.43169975,21.912502,2.43169975,21.3231988,2.43169975,20.8973867,2.43169975,20.5966985,2.43169975,20.389288,2.43169975,20.249978,2.43169975,20.159481,2.43169975,20.1036825,2.43169975,20.0728636,2.43169975,20.0610155,2.43169975,20.0652926,2.43169975,20.0856419,2.43169975,20.124614,2.43169975,20.1873412,2.43169975,20.2512604,2.43169975,20.2771322,2.43169975,20.2777595,2.43169975,20.2791916,2.43169975,20.284869,2.43169975,20.2954639,2.43169975,20.3099511,2.43169975,20.3284412,2.43169975,20.3510703,2.43169975,20.377999,2.43169975,20.4094161,2.43169975,20.4455249,2.43169975,20.4865936,2.43169975,20.5327668,2.43169975,20.5847696,2.43169975,20.6250165,2.43169975,20.763371
2.641849,24.5661706,2.641849,23.8391728,2.641849,23.0504117,2.641849,22.1847324,2.641849,21.5376149,2.641849,21.0625232,2.641849,20.7211127,2.641849,20.4811161,2.641849,20.3166467,2.641849,20.2075463,2.641849,20.1388003,2.641849,20.0998679,2.641849,20.0840754,2.641849,20.0881127,2.641849,20.1116747,2.641849,20.1572561,2.641849,20.2300904,2.641849,20.3036508,2.641849,20.3332371,2.641849,20.3339522,2.641849,20.3355754,2.641849,20.3419545,2.641849,20.3537683,2.641849,20.36983,2.641849,20.3902506,2.641849,20.4151663,2.641849,20.4447372,2.641849,20.4791518,2.641849,20.5186115,2.641849,20.563386,2.641849,20.6136085,2.641849,20.6700376,2.641849,20.7136353,2.641849,20.8632563
2.89782075,25.1039826,2.89782075,24.3251466,2.89782075,23.4735869,2.89782075,22.52933,2.89782075,21.8126812,2.89782075,21.277666,2.89782075,20.8860919,2.89782075,20.6053596,2.89782075,20.4089251,2.89782075,20.2757709,2.89782075,20.189958,2.89782075,20.140072,2.89782075,20.1187048,2.89782075,20.1220051,2.89782075,20.1493398,2.89782075,20.2030777,2.89782075,20.2884915,2.89782075,20.3740422,2.89782075,20.408238,2.89782075,20.409062,2.89782075,20.4109215,2.89782075,20.4181638,2.89782075,20.4314699,2.89782075,20.4494522,2.89782075,20.4722216,2.89782075,20.499914,2.89782075,20.5326889,2.89782075,20.570734,2.89782075,20.6142484,2.89782075,20.6635032,2.89782075,20.7186177,2.89782075,20.7803911,2.89782075,20.8280329,2.89782075,20.991247
3.1339675,25.6073199,3.1339675,24.7821302,3.1339675,23.8742275,3.1339675,22.8591124,3.1339675,22.0792465,3.1339675,21.4892004,3.1339675,21.0510129,3.1339675,20.7319216,3.1339675,20.5049433,3.1339675,20.3484367,3.1339675,20.2457601,3.1339675,20.1848091,3.1339675,20.157572,3.1339675,20.1597285,3.1339675,20.1903328,3.1339675,20.2515929,3.1339675,20.3487474,3.1339675,20.4455003,3.1339675,20.4839979,3.1339675,20.4849235,3.1339675,20.4870026,3.1339675,20.4950453,3.1339675,20.5097303,3.1339675,20.529482,3.1339675,20.554411,3.1339675,20.5846527,3.1339675,20.6203658,3.1339675,20.6617369,3.1339675,20.7089631,3.1339675,20.7623162,3.1339675,20.8219032,3.1339675,20.8885599,3.1339675,20.9398958,3.1339675,21.1155225
3.36439,26.104435,3.36439,25.2352409,3.36439,24.2737072,3.36439,23.1908709,3.36439,22.3501911,3.36439,21.7067833,3.36439,21.2229746,3.36439,20.8659449,3.36439,20.608407,3.36439,20.4282399,3.36439,20.3082341,3.36439,20.235707,3.36439,20.2021218,3.36439,20.2027312,3.36439,20.2362819,3.36439,20.304795,3.36439,20.413423,3.36439,20.5211493,3.36439,20.5638598,3.36439,20.5648847,3.36439,20.5671788,3.36439,20.5760025,3.36439,20.5920303,3.36439,20.613502,3.36439,20.6405279,3.36439,20.6732425,3.36439,20.7118036,3.36439,20.7563965,3.36439,20.8072161,3.36439,20.8645353,3.36439,20.9284484,3.36439,20.9998271,3.36439,21.054734,3.36439,21.2423577
3.63261425,26.6899914,3.63261425,25.7709882,3.63261425,24.7485972,3.63261425,23.5886258,3.63261425,22.6782601,3.63261425,21.9732569,3.63261425,21.4363365,3.63261425,21.0347126,3.63261425,20.7408708,3.63261425,20.532267,3.63261425,20.3911575,3.63261425,20.3042917,3.63261425,20.2625962,3.63261425,20.2608656,3.63261425,20.2974926,3.63261425,20.3742527,3.63261425,20.496146,3.63261425,20.6166075,3.63261425,20.66421,3.63261425,20.6653504,3.63261425,20.6678937,3.63261425,20.6776228,3.63261425,20.6952052,3.63261425,20.7186666,3.63261425,20.7481162,3.63261425,20.7836875,3.63261425,20.8255368,3.63261425,20.8738481,3.63261425,20.9288133,3.63261425,20.9907063,3.63261425,21.0596072,3.63261425,21.1364283,3.63261425,21.1954505,3.63261425,21.3968974
3.885436,27.2481964,3.885436,26.283534,3.885436,25.20523,3.885436,23.9741494,3.885436,22.9991921,3.885436,22.2367198,3.885436,21.6498655,3.885436,21.2059529,3.885436,20.8773548,3.885436,20.6412392,3.885436,20.4794654,3.885436,20.378338,3.885436,20.3283444,3.885436,20.3238852,3.885436,20.363028,3.885436,20.4472983,3.885436,20.5815119,3.885436,20.7138617,3.885436,20.7660366,3.885436,20.7672848,3.885436,20.7700612,3.885436,20.7806365,3.885436,20.7996719,3.885436,20.8249922,3.885436,20.8567059,3.885436,20.8949451,3.885436,20.9398645,3.885436,20.9916467,3.885436,21.0504809,3.885436,21.1166416,3.885436,21.1901956,3.885436,21.2720932,3.885436,21.3349535,3.885436,21.5492911
4.09915775,27.7244029,4.09915775,26.7220341,4.09915775,25.5974756,4.09915775,24.3074162,4.09915775,23.2786636,4.09915775,22.4680877,4.09915775,21.839193,4.09915775,21.3594427,4.09915775,21.0011753,4.09915775,20.7413844,4.09915775,20.5616611,4.09915775,20.4479926,4.09915775,20.3905396,4.09915775,20.3833964,4.09915775,20.4243645,4.09915775,20.514749,4.09915775,20.659187,4.09915775,20.8014551,4.09915775,20.8574507,4.09915775,20.858789,4.09915775,20.8617604,4.09915775,20.8730436,4.09915775,20.8932955,4.09915775,20.9201729,4.09915775,20.9537831,4.09915775,20.9942573,4.09915775,21.0417488,4.09915775,21.0964387,4.09915775,21.1585139,4.09915775,21.2282493,4.09915775,21.3057006,4.09915775,21.3918499,4.09915775,21.4579245,4.09915775,21.6830574
4.3525545,28.2939492,4.3525545,27.2478914,4.3525545,26.0696556,4.3525545,24.7109922,4.3525545,23.6194313,4.3525545,22.7524392,4.3525545,22.0739808,4.3525545,21.5517293,4.3525545,21.1580448,4.3525545,20.8697836,4.3525545,20.6682891,4.3525545,20.5392344,4.3525545,20.4724413,4.3525545,20.4616725,4.3525545,20.5044254,4.3525545,20.601738,4.3525545,20.7580144,4.3525545,20.9118375,4.3525545,20.9722934,4.3525545,20.973737,4.3525545,20.9769362,4.3525545,20.9890481,4.3525545,21.0107255,4.3525545,21.039429,4.3525545,21.0752647,4.3525545,21.1183623,4.3525545,21.1688734,4.3525545,21.2269772,4.3525545,21.292858,4.3525545,21.3667911,4.3525545,21.4488188,4.3525545,21.5399606,4.3525545,21.6098097,4.3525545,21.847619
4.5653045,28.7759301,4.5653045,27.6939739,4.5653045,26.4715725,4.5653045,25.0563476,4.5653045,23.9128367,4.5653045,22.9990007,4.5653045,22.2792028,4.5653045,21.7213217,4.5653045,21.2977771,4.5653045,20.9853588,4.5653045,20.765251,4.5653045,20.622908,4.5653045,20.5479025,4.5653045,20.533742,4.5653045,20.5776795,4.5653045,20.680527,4.5653045,20.8464801,4.5653045,21.0098112,4.5653045,21.0739456,4.5653045,21.0754762,4.5653045,21.0788635,4.5653045,21.0916612,4.5653045,21.1145201,4.5653045,21.1447392,4.5653045,21.1824233,4.5653045,21.2277008,4.5653045,21.2807216,4.5653045,21.3416638,4.5653045,21.4107088,4.5653045,21.4881326,4.5653045,21.5739663,4.5653045,21.6692605,4.5653045,21.7422489,4.5653045,21.990602
