Time ((min)),Degree of Cure [z = 49.990 mm: Degree of Cure],Degree of Cure [z = 49.521 mm: Degree of Cure 1],Degree of Cure [z = 48.125 mm: Degree of Cure 2],Degree of Cure [z = 46.250 mm: Degree of Cure 3],Degree of Cure [z = 44.375 mm: Degree of Cure 4],Degree of Cure [z = 42.500 mm: Degree of Cure 5],Degree of Cure [z = 40.625 mm: Degree of Cure 6],Degree of Cure [z = 38.750 mm: Degree of Cure 7],Degree of Cure [z = 36.875 mm: Degree of Cure 8],Degree of Cure [z = 35.000 mm: Degree of Cure 9],Degree of Cure [z = 33.125 mm: Degree of Cure 10],Degree of Cure [z = 31.250 mm: Degree of Cure 11],Degree of Cure [z = 29.375 mm: Degree of Cure 12],Degree of Cure [z = 27.500 mm: Degree of Cure 13],Degree of Cure [z = 25.625 mm: Degree of Cure 14],Degree of Cure [z = 23.750 mm: Degree of Cure 15],Degree of Cure [z = 21.875 mm: Degree of Cure 16],Degree of Cure [z = 20.479 mm: Degree of Cure 17],Degree of Cure [z = 20.010 mm: Degree of Cure 18]
5.074098,0.050000133,0.050000099,0.050000072,0.05000005,0.050000038,0.050000031,0.050000027,0.050000025,0.050000023,0.050000022,0.050000021,0.050000021,0.050000021,0.050000021,0.050000021,0.050000021,0.050000022,0.050000022,0.050000022
5.28524475,0.050000155,0.050000114,0.050000081,0.050000056,0.050000042,0.050000034,0.050000029,0.050000026,0.050000024,0.050000023,0.050000022,0.050000022,0.050000022,0.050000022,0.050000022,0.050000022,0.050000023,0.050000023,0.050000024
5.54066725,0.050000187,0.050000136,0.050000095,0.050000064,0.050000048,0.050000038,0.050000032,0.050000029,0.050000026,0.050000025,0.050000024,0.050000023,0.050000023,0.050000023,0.050000023,0.050000023,0.050000024,0.050000025,0.050000025
5.7760665,0.050000221,0.050000159,0.05000011,0.050000073,0.050000053,0.050000042,0.050000035,0.050000031,0.050000028,0.050000026,0.050000025,0.050000024,0.050000024,0.050000024,0.050000024,0.050000025,0.050000026,0.050000027,0.050000027
6.00678825,0.050000262,0.050000186,0.050000127,0.050000082,0.050000059,0.050000046,0.050000038,0.050000033,0.05000003,0.050000028,0.050000027,0.050000026,0.050000025,0.050000025,0.050000026,0.050000026,0.050000027,0.050000028,0.050000028
6.242935,0.05000031,0.050000218,0.050000147,0.050000094,0.050000066,0.05000005,0.050000041,0.050000036,0.050000032,0.05000003,0.050000028,0.050000027,0.050000027,0.050000027,0.050000027,0.050000028,0.050000029,0.05000003,0.05000003
6.52883175,0.050000382,0.050000265,0.050000176,0.05000011,0.050000076,0.050000057,0.050000046,0.050000039,0.050000035,0.050000032,0.05000003,0.050000029,0.050000029,0.050000028,0.050000029,0.050000029,0.050000031,0.050000032,0.050000032
6.74158175,0.050000445,0.050000307,0.050000201,0.050000123,0.050000084,0.050000062,0.050000049,0.050000042,0.050000037,0.050000034,0.050000032,0.050000031,0.05000003,0.05000003,0.05000003,0.050000031,0.050000032,0.050000034,0.050000034
6.9944035,0.050000535,0.050000365,0.050000236,0.050000142,0.050000095,0.050000069,0.050000054,0.050000045,0.05000004,0.050000036,0.050000034,0.050000032,0.050000032,0.050000031,0.050000032,0.050000033,0.050000034,0.050000036,0.050000036
7.20812525,0.050000624,0.050000422,0.05000027,0.05000016,0.050000105,0.050000076,0.050000059,0.050000049,0.050000042,0.050000038,0.050000036,0.050000034,0.050000033,0.050000033,0.050000033,0.050000034,0.050000036,0.050000038,0.050000038
7.461522,0.050000749,0.050000503,0.050000317,0.050000185,0.05000012,0.050000085,0.050000065,0.050000053,0.050000046,0.050000041,0.050000038,0.050000036,0.050000035,0.050000035,0.050000035,0.050000036,0.050000038,0.05000004,0.050000041
7.7169445,0.050000899,0.050000599,0.050000374,0.050000214,0.050000136,0.050000095,0.050000071,0.050000058,0.050000049,0.050000044,0.05000004,0.050000038,0.050000037,0.050000037,0.050000037,0.050000038,0.05000004,0.050000042,0.050000043
7.92709375,0.050001045,0.050000692,0.050000428,0.050000242,0.050000151,0.050000104,0.050000078,0.050000062,0.050000052,0.050000046,0.050000043,0.05000004,0.050000039,0.050000039,0.050000039,0.05000004,0.050000042,0.050000045,0.050000046
8.1830655,0.050001252,0.050000824,0.050000504,0.05000028,0.050000173,0.050000117,0.050000086,0.050000068,0.050000057,0.05000005,0.050000045,0.050000043,0.050000041,0.050000041,0.050000041,0.050000043,0.050000045,0.050000048,0.050000049
8.41921225,0.050001478,0.050000968,0.050000587,0.050000322,0.050000195,0.05000013,0.050000094,0.050000074,0.050000061,0.050000053,0.050000048,0.050000045,0.050000044,0.050000043,0.050000043,0.050000045,0.050000048,0.05000005,0.050000052
8.64963475,0.050001736,0.050001132,0.050000681,0.050000368,0.05000022,0.050000145,0.050000104,0.05000008,0.050000066,0.050000057,0.050000051,0.050000048,0.050000046,0.050000045,0.050000046,0.050000047,0.05000005,0.050000053,0.050000055
